Overriding: device = cuda
Overriding: compile = False
tokens per iteration will be: 4,096
found vocab_size = 50257 (inside data\tool\meta.pkl)
Initializing a new model from scratch
number of parameters: 16.01M
C:\Users\Rayya\cs_gpt_tool\GPT-tool\train.py:199: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 18, with 16,077,056 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
iter 99: loss 6.5833, time 122.38ms, mfu 1.08%
iter 100: loss 6.5711, time 125.12ms, mfu 1.07%
iter 101: loss 6.5421, time 123.58ms, mfu 1.07%
iter 102: loss 6.5246, time 120.06ms, mfu 1.07%
iter 103: loss 6.4775, time 114.62ms, mfu 1.08%
iter 104: loss 6.4699, time 116.13ms, mfu 1.08%
iter 105: loss 6.4528, time 131.83ms, mfu 1.07%
iter 106: loss 6.4377, time 120.24ms, mfu 1.08%
iter 107: loss 6.4166, time 119.37ms, mfu 1.08%
iter 108: loss 6.3908, time 121.41ms, mfu 1.08%
iter 109: loss 6.3750, time 123.11ms, mfu 1.07%
iter 110: loss 6.3672, time 122.33ms, mfu 1.07%
iter 111: loss 6.3185, time 124.84ms, mfu 1.07%
iter 112: loss 6.2978, time 123.07ms, mfu 1.07%
iter 113: loss 6.2747, time 124.48ms, mfu 1.07%
iter 114: loss 6.2659, time 127.72ms, mfu 1.06%
iter 115: loss 6.2558, time 114.00ms, mfu 1.07%
iter 116: loss 6.2233, time 137.97ms, mfu 1.06%
iter 117: loss 6.2078, time 116.03ms, mfu 1.06%
iter 118: loss 6.1684, time 123.55ms, mfu 1.06%
iter 119: loss 6.1504, time 114.38ms, mfu 1.07%
iter 120: loss 6.1289, time 122.16ms, mfu 1.07%
iter 121: loss 6.1156, time 123.58ms, mfu 1.07%
iter 122: loss 6.0914, time 124.89ms, mfu 1.07%
iter 123: loss 6.0766, time 123.58ms, mfu 1.06%
iter 124: loss 6.0485, time 121.04ms, mfu 1.07%
iter 125: loss 6.0236, time 120.67ms, mfu 1.07%
iter 126: loss 5.9799, time 122.13ms, mfu 1.07%
iter 127: loss 5.9778, time 119.01ms, mfu 1.07%
iter 128: loss 5.9564, time 121.93ms, mfu 1.07%
iter 129: loss 5.9170, time 121.17ms, mfu 1.07%
iter 130: loss 5.8867, time 117.19ms, mfu 1.07%
iter 131: loss 5.8765, time 124.15ms, mfu 1.07%
iter 132: loss 5.8387, time 120.11ms, mfu 1.07%
iter 133: loss 5.8310, time 125.37ms, mfu 1.07%
iter 134: loss 5.7878, time 117.06ms, mfu 1.07%
iter 135: loss 5.7681, time 126.01ms, mfu 1.07%
iter 136: loss 5.7309, time 122.62ms, mfu 1.07%
iter 137: loss 5.7077, time 112.49ms, mfu 1.08%
iter 138: loss 5.6875, time 127.27ms, mfu 1.07%
iter 139: loss 5.6753, time 121.22ms, mfu 1.07%
iter 140: loss 5.6456, time 126.03ms, mfu 1.07%
iter 141: loss 5.6173, time 117.03ms, mfu 1.07%
iter 142: loss 5.6086, time 121.53ms, mfu 1.07%
iter 143: loss 5.5644, time 114.63ms, mfu 1.08%
iter 144: loss 5.5441, time 120.65ms, mfu 1.08%
iter 145: loss 5.5180, time 125.16ms, mfu 1.08%
iter 146: loss 5.4781, time 119.56ms, mfu 1.08%
iter 147: loss 5.4749, time 114.76ms, mfu 1.08%
iter 148: loss 5.4360, time 146.58ms, mfu 1.06%
iter 149: loss 5.3896, time 118.46ms, mfu 1.07%
iter 150: loss 5.3668, time 117.61ms, mfu 1.07%
iter 151: loss 5.3521, time 121.11ms, mfu 1.07%
iter 152: loss 5.3108, time 134.68ms, mfu 1.06%
iter 153: loss 5.2846, time 117.42ms, mfu 1.07%
iter 154: loss 5.2559, time 120.98ms, mfu 1.07%
iter 155: loss 5.2245, time 116.15ms, mfu 1.07%
iter 156: loss 5.2030, time 121.62ms, mfu 1.07%
iter 157: loss 5.1853, time 123.76ms, mfu 1.07%
iter 158: loss 5.1484, time 119.64ms, mfu 1.07%
iter 159: loss 5.0985, time 121.09ms, mfu 1.07%
iter 160: loss 5.0801, time 120.91ms, mfu 1.07%
iter 161: loss 5.0546, time 123.79ms, mfu 1.07%
iter 162: loss 5.0165, time 122.79ms, mfu 1.07%
iter 163: loss 5.0091, time 112.43ms, mfu 1.08%
iter 164: loss 4.9749, time 125.13ms, mfu 1.08%
iter 165: loss 4.9235, time 129.80ms, mfu 1.07%
iter 166: loss 4.8893, time 118.87ms, mfu 1.07%
iter 167: loss 4.8652, time 121.52ms, mfu 1.07%
iter 168: loss 4.8482, time 122.12ms, mfu 1.07%
iter 169: loss 4.8202, time 117.64ms, mfu 1.07%
iter 170: loss 4.7703, time 124.17ms, mfu 1.07%
iter 171: loss 4.7377, time 118.74ms, mfu 1.07%
iter 172: loss 4.6936, time 120.90ms, mfu 1.07%
iter 173: loss 4.6778, time 122.77ms, mfu 1.07%
iter 174: loss 4.6471, time 125.12ms, mfu 1.07%
iter 175: loss 4.6253, time 119.78ms, mfu 1.07%
iter 176: loss 4.5893, time 121.84ms, mfu 1.07%
iter 177: loss 4.5411, time 120.27ms, mfu 1.07%
iter 178: loss 4.5019, time 121.21ms, mfu 1.07%
iter 179: loss 4.4774, time 124.51ms, mfu 1.07%
iter 180: loss 4.4375, time 121.78ms, mfu 1.07%
iter 181: loss 4.4011, time 113.10ms, mfu 1.08%
iter 182: loss 4.3770, time 130.56ms, mfu 1.07%
iter 183: loss 4.3283, time 122.91ms, mfu 1.07%
iter 184: loss 4.3289, time 119.50ms, mfu 1.07%
iter 185: loss 4.2734, time 116.27ms, mfu 1.08%
iter 186: loss 4.2411, time 121.55ms, mfu 1.08%
iter 187: loss 4.2158, time 122.93ms, mfu 1.07%
iter 188: loss 4.1785, time 122.95ms, mfu 1.07%
iter 189: loss 4.1389, time 113.92ms, mfu 1.08%
iter 190: loss 4.1059, time 125.54ms, mfu 1.08%
iter 191: loss 4.0639, time 121.66ms, mfu 1.08%
iter 192: loss 4.0335, time 118.45ms, mfu 1.08%
iter 193: loss 4.0082, time 117.39ms, mfu 1.08%
iter 194: loss 3.9600, time 117.36ms, mfu 1.08%
iter 195: loss 3.9383, time 129.50ms, mfu 1.08%
iter 196: loss 3.9162, time 117.30ms, mfu 1.08%
iter 197: loss 3.8595, time 123.80ms, mfu 1.08%
iter 198: loss 3.8513, time 125.07ms, mfu 1.07%
iter 199: loss 3.8044, time 121.23ms, mfu 1.07%
iter 200: loss 3.7845, time 122.36ms, mfu 1.07%
iter 201: loss 3.7484, time 128.23ms, mfu 1.07%
iter 202: loss 3.7109, time 120.84ms, mfu 1.07%
iter 203: loss 3.6763, time 120.99ms, mfu 1.07%
iter 204: loss 3.6543, time 123.68ms, mfu 1.07%
iter 205: loss 3.6345, time 123.77ms, mfu 1.07%
iter 206: loss 3.5846, time 121.18ms, mfu 1.07%
iter 207: loss 3.5814, time 120.53ms, mfu 1.07%
iter 208: loss 3.5476, time 125.88ms, mfu 1.06%
iter 209: loss 3.5212, time 123.80ms, mfu 1.06%
iter 210: loss 3.4804, time 119.57ms, mfu 1.07%
iter 211: loss 3.4520, time 129.76ms, mfu 1.06%
iter 212: loss 3.4149, time 118.98ms, mfu 1.06%
iter 213: loss 3.3818, time 121.96ms, mfu 1.06%
iter 214: loss 3.3539, time 122.45ms, mfu 1.06%
iter 215: loss 3.3227, time 117.32ms, mfu 1.07%
iter 216: loss 3.3047, time 120.47ms, mfu 1.07%
iter 217: loss 3.2650, time 126.78ms, mfu 1.07%
iter 218: loss 3.2338, time 117.18ms, mfu 1.07%
iter 219: loss 3.2292, time 121.11ms, mfu 1.07%
iter 220: loss 3.1611, time 122.42ms, mfu 1.07%
iter 221: loss 3.1619, time 126.28ms, mfu 1.07%
iter 222: loss 3.0912, time 122.65ms, mfu 1.07%
iter 223: loss 3.0656, time 118.72ms, mfu 1.07%
iter 224: loss 3.0602, time 130.02ms, mfu 1.06%
iter 225: loss 3.0040, time 118.80ms, mfu 1.07%
iter 226: loss 2.9980, time 124.98ms, mfu 1.06%
iter 227: loss 2.9597, time 120.44ms, mfu 1.07%
iter 228: loss 2.9236, time 121.73ms, mfu 1.07%
iter 229: loss 2.9021, time 121.78ms, mfu 1.07%
iter 230: loss 2.8681, time 121.57ms, mfu 1.07%
iter 231: loss 2.8210, time 121.94ms, mfu 1.07%
iter 232: loss 2.8202, time 118.25ms, mfu 1.07%
iter 233: loss 2.7658, time 121.44ms, mfu 1.07%
iter 234: loss 2.7319, time 126.32ms, mfu 1.07%
iter 235: loss 2.7063, time 118.34ms, mfu 1.07%
iter 236: loss 2.6735, time 128.17ms, mfu 1.06%
iter 237: loss 2.6461, time 113.89ms, mfu 1.07%
iter 238: loss 2.6217, time 122.46ms, mfu 1.07%
iter 239: loss 2.5804, time 128.91ms, mfu 1.07%
iter 240: loss 2.5370, time 131.87ms, mfu 1.06%
iter 241: loss 2.5127, time 120.97ms, mfu 1.06%
iter 242: loss 2.4986, time 120.03ms, mfu 1.06%
iter 243: loss 2.4743, time 121.22ms, mfu 1.06%
iter 244: loss 2.4267, time 130.90ms, mfu 1.06%
iter 245: loss 2.3981, time 123.64ms, mfu 1.06%
iter 246: loss 2.3969, time 120.47ms, mfu 1.06%
iter 247: loss 2.3523, time 118.90ms, mfu 1.06%
iter 248: loss 2.3439, time 114.73ms, mfu 1.07%
iter 249: loss 2.2879, time 120.08ms, mfu 1.07%
step 250: train loss 2.3047, val loss 2.3074
saving checkpoint to out-addition-cot
iter 250: loss 2.2905, time 2589.93ms, mfu 0.97%
iter 251: loss 2.2862, time 115.89ms, mfu 0.98%
iter 252: loss 2.2083, time 126.13ms, mfu 0.99%
iter 253: loss 2.2152, time 119.81ms, mfu 1.00%
iter 254: loss 2.1600, time 121.10ms, mfu 1.01%
iter 255: loss 2.1599, time 114.92ms, mfu 1.02%
iter 256: loss 2.1291, time 121.29ms, mfu 1.03%
iter 257: loss 2.0877, time 114.67ms, mfu 1.04%
iter 258: loss 2.0472, time 106.46ms, mfu 1.05%
iter 259: loss 2.0466, time 124.18ms, mfu 1.05%
iter 260: loss 2.0312, time 113.68ms, mfu 1.06%
iter 261: loss 1.9972, time 127.70ms, mfu 1.06%
iter 262: loss 1.9617, time 125.34ms, mfu 1.06%
iter 263: loss 1.9248, time 126.75ms, mfu 1.05%
iter 264: loss 1.9031, time 127.70ms, mfu 1.05%
iter 265: loss 1.8674, time 131.47ms, mfu 1.04%
iter 266: loss 1.8328, time 123.19ms, mfu 1.05%
iter 267: loss 1.8738, time 131.92ms, mfu 1.04%
iter 268: loss 1.8220, time 121.95ms, mfu 1.04%
iter 269: loss 1.8248, time 131.08ms, mfu 1.04%
iter 270: loss 1.7978, time 125.75ms, mfu 1.04%
iter 271: loss 1.7355, time 127.81ms, mfu 1.04%
iter 272: loss 1.7181, time 125.47ms, mfu 1.04%
iter 273: loss 1.7236, time 125.10ms, mfu 1.04%
iter 274: loss 1.6621, time 123.12ms, mfu 1.04%
iter 275: loss 1.6819, time 124.83ms, mfu 1.04%
iter 276: loss 1.6532, time 119.65ms, mfu 1.04%
iter 277: loss 1.6225, time 124.67ms, mfu 1.04%
iter 278: loss 1.6146, time 114.08ms, mfu 1.05%
iter 279: loss 1.5797, time 120.70ms, mfu 1.06%
iter 280: loss 1.5851, time 125.20ms, mfu 1.06%
iter 281: loss 1.5560, time 121.22ms, mfu 1.06%
iter 282: loss 1.5474, time 122.54ms, mfu 1.06%
iter 283: loss 1.5317, time 121.97ms, mfu 1.06%
iter 284: loss 1.4852, time 114.61ms, mfu 1.07%
iter 285: loss 1.4582, time 121.75ms, mfu 1.07%
iter 286: loss 1.4615, time 121.34ms, mfu 1.07%
iter 287: loss 1.4253, time 123.17ms, mfu 1.07%
iter 288: loss 1.4315, time 115.82ms, mfu 1.07%
iter 289: loss 1.3896, time 121.70ms, mfu 1.07%
iter 290: loss 1.4294, time 122.16ms, mfu 1.07%
iter 291: loss 1.4110, time 121.20ms, mfu 1.07%
iter 292: loss 1.3363, time 115.03ms, mfu 1.08%
iter 293: loss 1.4204, time 123.24ms, mfu 1.08%
iter 294: loss 1.4054, time 124.33ms, mfu 1.07%
iter 295: loss 1.4092, time 121.80ms, mfu 1.07%
iter 296: loss 1.3300, time 120.90ms, mfu 1.07%
iter 297: loss 1.3721, time 126.00ms, mfu 1.07%
iter 298: loss 1.3518, time 118.51ms, mfu 1.07%
iter 299: loss 1.3132, time 126.11ms, mfu 1.07%
iter 300: loss 1.2675, time 137.90ms, mfu 1.06%
iter 301: loss 1.2994, time 115.83ms, mfu 1.06%
iter 302: loss 1.2897, time 126.09ms, mfu 1.06%
iter 303: loss 1.2555, time 122.09ms, mfu 1.06%
iter 304: loss 1.2453, time 120.30ms, mfu 1.06%
iter 305: loss 1.2520, time 128.65ms, mfu 1.06%
iter 306: loss 1.2075, time 129.33ms, mfu 1.05%
iter 307: loss 1.1838, time 124.50ms, mfu 1.05%
iter 308: loss 1.1856, time 121.82ms, mfu 1.05%
iter 309: loss 1.1595, time 122.30ms, mfu 1.05%
iter 310: loss 1.1629, time 124.67ms, mfu 1.05%
iter 311: loss 1.1286, time 122.28ms, mfu 1.06%
iter 312: loss 1.1614, time 123.39ms, mfu 1.06%
iter 313: loss 1.1498, time 126.82ms, mfu 1.05%
iter 314: loss 1.1008, time 123.85ms, mfu 1.05%
iter 315: loss 1.1209, time 129.92ms, mfu 1.05%
iter 316: loss 1.1329, time 138.19ms, mfu 1.04%
iter 317: loss 1.0925, time 125.35ms, mfu 1.04%
iter 318: loss 1.0927, time 127.48ms, mfu 1.04%
iter 319: loss 1.0764, time 131.54ms, mfu 1.03%
iter 320: loss 1.0788, time 122.76ms, mfu 1.03%
iter 321: loss 1.0513, time 128.35ms, mfu 1.03%
iter 322: loss 1.0550, time 118.98ms, mfu 1.04%
iter 323: loss 1.0440, time 128.17ms, mfu 1.04%
iter 324: loss 1.0408, time 127.77ms, mfu 1.03%
iter 325: loss 1.0346, time 125.73ms, mfu 1.03%
iter 326: loss 1.0381, time 122.20ms, mfu 1.04%
iter 327: loss 1.0122, time 127.57ms, mfu 1.04%
iter 328: loss 1.0370, time 114.52ms, mfu 1.05%
iter 329: loss 1.0551, time 130.06ms, mfu 1.04%
iter 330: loss 1.0443, time 121.69ms, mfu 1.04%
iter 331: loss 1.0297, time 119.13ms, mfu 1.05%
iter 332: loss 1.0073, time 120.03ms, mfu 1.05%
iter 333: loss 1.0156, time 114.20ms, mfu 1.06%
iter 334: loss 0.9840, time 129.57ms, mfu 1.06%
iter 335: loss 0.9981, time 120.37ms, mfu 1.06%
iter 336: loss 0.9844, time 116.82ms, mfu 1.06%
iter 337: loss 0.9984, time 122.09ms, mfu 1.06%
iter 338: loss 0.9845, time 123.32ms, mfu 1.06%
iter 339: loss 0.9678, time 128.03ms, mfu 1.06%
iter 340: loss 0.9879, time 123.89ms, mfu 1.06%
iter 341: loss 0.9608, time 122.06ms, mfu 1.06%
iter 342: loss 0.9744, time 112.74ms, mfu 1.07%
iter 343: loss 0.9634, time 120.98ms, mfu 1.07%
iter 344: loss 0.9476, time 124.32ms, mfu 1.07%
iter 345: loss 0.9426, time 122.08ms, mfu 1.07%
iter 346: loss 0.9271, time 129.20ms, mfu 1.06%
iter 347: loss 0.9405, time 126.35ms, mfu 1.06%
iter 348: loss 0.9333, time 119.39ms, mfu 1.06%
iter 349: loss 0.9095, time 125.55ms, mfu 1.06%
iter 350: loss 0.9582, time 116.86ms, mfu 1.06%
iter 351: loss 0.9458, time 129.65ms, mfu 1.06%
iter 352: loss 0.9274, time 127.11ms, mfu 1.06%
iter 353: loss 0.8934, time 121.12ms, mfu 1.06%
iter 354: loss 0.9058, time 121.65ms, mfu 1.06%
iter 355: loss 0.9027, time 119.83ms, mfu 1.06%
iter 356: loss 0.9013, time 120.72ms, mfu 1.06%
iter 357: loss 0.8925, time 122.99ms, mfu 1.06%
iter 358: loss 0.8831, time 121.30ms, mfu 1.06%
iter 359: loss 0.8770, time 115.34ms, mfu 1.07%
iter 360: loss 0.8750, time 127.32ms, mfu 1.07%
iter 361: loss 0.8595, time 122.33ms, mfu 1.07%
iter 362: loss 0.8599, time 118.67ms, mfu 1.07%
iter 363: loss 0.8856, time 122.77ms, mfu 1.07%
iter 364: loss 0.8857, time 123.57ms, mfu 1.07%
iter 365: loss 0.8720, time 123.08ms, mfu 1.07%
iter 366: loss 0.9033, time 123.38ms, mfu 1.06%
iter 367: loss 0.8778, time 121.66ms, mfu 1.07%
iter 368: loss 0.8313, time 134.55ms, mfu 1.06%
iter 369: loss 0.8785, time 121.31ms, mfu 1.06%
iter 370: loss 0.8519, time 119.31ms, mfu 1.06%
iter 371: loss 0.8565, time 123.75ms, mfu 1.06%
iter 372: loss 0.8461, time 121.09ms, mfu 1.06%
iter 373: loss 0.8400, time 127.96ms, mfu 1.06%
iter 374: loss 0.8411, time 120.99ms, mfu 1.06%
iter 375: loss 0.8305, time 124.22ms, mfu 1.06%
iter 376: loss 0.8363, time 123.00ms, mfu 1.06%
iter 377: loss 0.8283, time 124.32ms, mfu 1.06%
iter 378: loss 0.8201, time 119.68ms, mfu 1.06%
iter 379: loss 0.8105, time 117.84ms, mfu 1.06%
iter 380: loss 0.8047, time 118.02ms, mfu 1.07%
iter 381: loss 0.8063, time 122.19ms, mfu 1.07%
iter 382: loss 0.8043, time 125.29ms, mfu 1.07%
iter 383: loss 0.8132, time 133.69ms, mfu 1.06%
iter 384: loss 0.8184, time 116.79ms, mfu 1.06%
iter 385: loss 0.8027, time 115.77ms, mfu 1.07%
iter 386: loss 0.8008, time 126.50ms, mfu 1.06%
iter 387: loss 0.7991, time 124.90ms, mfu 1.06%
iter 388: loss 0.8006, time 115.86ms, mfu 1.07%
iter 389: loss 0.8011, time 131.11ms, mfu 1.06%
iter 390: loss 0.7934, time 123.65ms, mfu 1.06%
iter 391: loss 0.7972, time 119.10ms, mfu 1.06%
iter 392: loss 0.7921, time 122.40ms, mfu 1.06%
iter 393: loss 0.8039, time 121.77ms, mfu 1.06%
iter 394: loss 0.8029, time 130.84ms, mfu 1.06%
iter 395: loss 0.7837, time 109.14ms, mfu 1.07%
iter 396: loss 0.7717, time 126.98ms, mfu 1.07%
iter 397: loss 0.7844, time 126.60ms, mfu 1.06%
iter 398: loss 0.7623, time 113.32ms, mfu 1.07%
iter 399: loss 0.7519, time 130.67ms, mfu 1.06%
iter 400: loss 0.7583, time 122.43ms, mfu 1.06%
iter 401: loss 0.7875, time 121.34ms, mfu 1.07%
iter 402: loss 0.7482, time 124.57ms, mfu 1.06%
iter 403: loss 0.7648, time 122.64ms, mfu 1.06%
iter 404: loss 0.7837, time 121.10ms, mfu 1.06%
iter 405: loss 0.7560, time 123.51ms, mfu 1.06%
iter 406: loss 0.8134, time 125.50ms, mfu 1.06%
iter 407: loss 0.7691, time 120.73ms, mfu 1.06%
iter 408: loss 0.7883, time 120.27ms, mfu 1.06%
iter 409: loss 0.7784, time 126.69ms, mfu 1.06%
iter 410: loss 0.7574, time 121.90ms, mfu 1.06%
iter 411: loss 0.7545, time 123.26ms, mfu 1.06%
iter 412: loss 0.7565, time 122.92ms, mfu 1.06%
iter 413: loss 0.7648, time 124.21ms, mfu 1.06%
iter 414: loss 0.7391, time 120.01ms, mfu 1.06%
iter 415: loss 0.7484, time 128.36ms, mfu 1.06%
iter 416: loss 0.7778, time 119.33ms, mfu 1.06%
iter 417: loss 0.7467, time 122.90ms, mfu 1.06%
iter 418: loss 0.7696, time 130.78ms, mfu 1.05%
iter 419: loss 0.7578, time 115.37ms, mfu 1.06%
iter 420: loss 0.7464, time 123.17ms, mfu 1.06%
iter 421: loss 0.7914, time 126.19ms, mfu 1.06%
iter 422: loss 0.7467, time 117.53ms, mfu 1.06%
iter 423: loss 0.7475, time 116.77ms, mfu 1.07%
iter 424: loss 0.7367, time 121.50ms, mfu 1.07%
iter 425: loss 0.7243, time 120.38ms, mfu 1.07%
iter 426: loss 0.7621, time 124.97ms, mfu 1.07%
iter 427: loss 0.7470, time 122.12ms, mfu 1.07%
iter 428: loss 0.7288, time 121.78ms, mfu 1.07%
iter 429: loss 0.7404, time 121.84ms, mfu 1.07%
iter 430: loss 0.7097, time 120.94ms, mfu 1.07%
iter 431: loss 0.7551, time 123.48ms, mfu 1.07%
iter 432: loss 0.7572, time 117.14ms, mfu 1.07%
iter 433: loss 0.7041, time 122.63ms, mfu 1.07%
iter 434: loss 0.7615, time 124.32ms, mfu 1.07%
iter 435: loss 0.7626, time 114.55ms, mfu 1.08%
iter 436: loss 0.7417, time 128.83ms, mfu 1.07%
iter 437: loss 0.7546, time 124.17ms, mfu 1.07%
iter 438: loss 0.7784, time 120.74ms, mfu 1.07%
iter 439: loss 0.7556, time 122.88ms, mfu 1.07%
iter 440: loss 0.7449, time 121.39ms, mfu 1.07%
iter 441: loss 0.7507, time 122.52ms, mfu 1.07%
iter 442: loss 0.7298, time 122.90ms, mfu 1.07%
iter 443: loss 0.7227, time 121.94ms, mfu 1.07%
